,Unnamed: 0,Tags,Name,compound_sf,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],compound_mw,compound_rt,Area_Max,# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass Defect: Standard MD,Mass Defect: Relative MD,Mass Defect: Kendrick MD [H2],Mass Defect: Kendrick MD [C H2],Mass Defect: Kendrick MD [C2 H4],Mass Defect: Kendrick MD [C H3 O],Mass Defect: Kendrick MD [O],MS2,Neutral Losses,Kat-3_neg,Kat-3_pos,Kat-6_neg,Kat-6_pos,CV_Kat-3_neg,CV_Kat-3_pos,CV_Kat-6_neg,CV_Kat-6_pos,NrC,NrH,NrN,NrO,NrP,NrS,NrBr,NrCl,H/C,O/C,N/C,P/C,S/C,Br/C,Cl/C,DBE,Ox#C,DU,DBEAI,CAI,AI,AIcolor,NKM,KMD-CH2,KMD-OCH2,KMD-C2H4O,KMD-CO,KMD-H2,KMD-COO,KMD-H2O,KMD-O,KMD-O2,KMD-S,KMD-OS,KMD-Cl,KMD-Br,KMD-NH3,MolClass,good_pos_CV,good_neg_CV,sum_pos,sum_neg,Kat-3,CV_Kat-3,Kat-6,CV_Kat-6,P_value_Kat-6/Kat-3,Log2_Kat-6/Kat-3,Reg_Kat-6/Kat-3,compound_mq,compound_name,compound_folder,id_as_str,compound_id,compound_iso_smiles,compound_can_smiles,compound_name_iupac,compound_xlogp,KMD-C2H4,KMD-C3H8,KMD-C3H8O,KMD-C5H6O,KMD-CH4,KMD-C2O,KMD-C2H2O,KMD-C3H6O,KMDrem-CH2,KMDn-CH2,KMDrescaled-CH2,KMDrem-OCH2,KMDn-OCH2,KMDrescaled-OCH2,KMDrem-C2H4O,KMDn-C2H4O,KMDrescaled-C2H4O,KMDrem-CO,KMDn-CO,KMDrescaled-CO,KMDrem-H2,KMDn-H2,KMDrescaled-H2,KMDrem-COO,KMDn-COO,KMDrescaled-COO,KMDrem-H2O,KMDn-H2O,KMDrescaled-H2O,KMDrem-O,KMDn-O,KMDrescaled-O,KMDrem-O2,KMDn-O2,KMDrescaled-O2,KMDrem-S,KMDn-S,KMDrescaled-S,KMDrem-OS,KMDn-OS,KMDrescaled-OS,KMDrem-Cl,KMDn-Cl,KMDrescaled-Cl,KMDrem-Br,KMDn-Br,KMDrescaled-Br,KMDrem-NH3,KMDn-NH3,KMDrescaled-NH3,KMDrem-C2H4,KMDn-C2H4,KMDrescaled-C2H4,KMDrem-C3H8,KMDn-C3H8,KMDrescaled-C3H8,KMDrem-C3H8O,KMDn-C3H8O,KMDrescaled-C3H8O,KMDrem-C5H6O,KMDn-C5H6O,KMDrescaled-C5H6O,KMDrem-CH4,KMDn-CH4,KMDrescaled-CH4,KMDrem-C2O,KMDn-C2O,KMDrescaled-C2O,KMDrem-C2H2O,KMDn-C2H2O,KMDrescaled-C2H2O,KMDrem-C3H6O,KMDn-C3H6O,KMDrescaled-C3H6O
352,352,,,C20 H18 O3,Full match,No results,Partial match,-1.19,306.12523,11.317,1501716.55628553,2650,0,,,0.125230694218772,409,-0.251609573321673,-0.216592782207158,-0.216592782207158,-0.0562599682529594,0.222559707039636,No MS2,,0.0,1342927.82457689,0.0,54561.3034329035,1000.0,16.7217607547249,1000.0,15.3958542894313,20,18,0,3,0,0,0,0,0.9,0.15,0.0,0.0,0.0,0,0.0,12.0,-0.6,12.0,9.0,17,0.529411764705882,darkorange,306,0.21659357295590098,-0.017464072813652365,0.05704767153594048,-0.18083878734319114,0.2516109342500954,-0.19600832674944968,0.05433773623144589,-0.22255863793259323,-0.22255863793259323,-0.3926420833083739,-0.3359266124077749,-0.39790065274758035,-0.442040642853442,0.35210393527870565,CHO,2,0,1397489.12800979,0.0,1342927.82457689,16.7217607547249,54561.3034329035,15.3958542894313,0.00057743001132412,-4.62135984943918,#a6611a,0.0,None,Ruthenium2,0352,Ruthenium2_0352,None,None,None,,0.21659357295590098,0.3096857384537657,0.16793489554214602,0.0309814113622906,0.4724607105232508,-0.16415402993180805,-0.048246594685508626,0.09557399267885103,C11 O3,9,12.841697889925486,C17 H12,3,7.200594279445648,C14 H6,3,3.953257194325329,C17 H18,3,7.93504297472839,C20 O3,9,142.87437533749795,C17 H18,3,5.049822980046714,C20 H12,3,13.997001471602504,C20 H18,3,16.13893269954071,C20 H18 O,1,8.569466349770355,C20 H18 O3,0,9.574781463765927,C20 H18 O3,0,6.38200606879354,C20 H18 O3,0,8.754236154748831,C20 H18 O3,0,3.8790177906185215,C20 H18 O3,0,17.979309407959434,C12 H2 O3,4,6.920848944962743,C14 H2 O3,2,4.947515413241675,C14 H2 O,2,3.0972071532383025,C5,3,0.7313339370917034,C16 H2 O3,4,15.095493938548895,C14 H18,3,4.654112962878012,C14 H12,3,4.286871689092561,C11,3,2.2742205204018333
354,354,,,C17 H28 N6 O,Full match,No results,Partial match,-0.49,332.2323,13.604,1498825.48920378,1821,0,,,0.232297778748318,699,-0.347244919340483,-0.138677193651574,-0.138677193651574,0.035329173182447,0.337927234695769,No MS2,,0.0,1382872.43228596,0.0,120969.316979595,1000.0,11.8580992623245,1000.0,38.0908292152935,17,28,6,1,0,0,0,0,1.64705882352941,0.0588235294117647,0.352941176470588,0.0,0.0,0,0.0,7.0,-0.470588235294117,7.0,3.0,10,0.3,royalblue,332,0.138675080483722,-0.11534354446462203,-0.034477265647069544,-0.2926512337720055,0.34724344475313274,-0.30911446670086207,-0.03741831052292355,-0.3379290500336083,-0.3379290500336083,0.4774823936781445,-0.46096530845056805,0.471775361234279,0.4238710103421681,0.2857420809669975,CHNO,1,0,1503841.74926555,0.0,1382872.43228596,11.8580992623245,120969.316979595,38.0908292152935,0.000212627842510987,-3.51495500686007,#a6611a,0.0,None,Ruthenium2,0354,Ruthenium2_0354,None,None,None,,0.138675080483722,0.23970636188232675,0.08586667814415705,-0.06276651697697844,0.4163631613008647,-0.2745435615304359,-0.1487512712348007,0.0073346695660347905,C3 N6 O,14,9.704391734996587,C16 H26 N6,1,10.070516767896278,C15 H24 N6,1,6.546241743619005,C16 H28 N6,1,10.867600386119452,C17 N6 O,14,150.82645743252877,C16 H28 N6,1,6.916088336581319,C17 H26 N6,1,17.446532098084692,C17 H28 N6,1,19.77113054058438,C17 H28 N6 O,0,10.38556527029219,C17 H28 N6 O,0,10.391333665446366,C17 H28 N6 O,0,6.926273436809438,C17 H28 N6 O,0,9.50081098084195,C17 H28 N6 O,0,4.209826439283109,C17 H10 O,6,13.51261277757898,C3 N6 O,7,4.852195867498294,C8 H4 N6 O,3,4.540010294546253,C14 H20 N6,1,4.531904878627532,C12 H22 N6,1,3.049547877855506,C10 N6 O,7,13.723987254736269,C15 H28 N6,1,7.306867578260179,C15 H26 N6,1,6.908307399516714,C14 H22 N6,1,4.724014220067995
355,355,,,C12 H10 O2,Full match,No results,Partial match,-0.37,186.06801,9.532,1487999.40276923,668,0,,,0.0680102352343397,366,-0.376672838504192,-0.139755762903178,-0.139755762903178,-0.0423028100700549,0.12716842912991,No MS2,,0.0,1339095.6536094,0.0,40858.8060160139,1000.0,15.7256653759151,1000.0,5.29738421711924,12,10,0,2,0,0,0,0,0.833333333333333,0.166666666666666,0.0,0.0,0.0,0,0.0,8.0,-0.5,8.0,6.0,10,0.6,darkorange,186,0.13975605701853056,-0.0025080757797013575,0.04278140262346142,-0.10180994651034325,0.3766734804254952,-0.11103024504612335,0.041134258840713755,-0.12716796609160497,-0.12716796609160497,-0.2305475150918994,-0.19607490789556437,-0.2337437611216444,-0.26057278178234355,0.22212151069834363,CHO,2,0,1379954.45962541,0.0,1339095.6536094,15.7256653759151,40858.8060160139,5.29738421711924,0.00043580228990295,-5.03446816201498,#a6611a,0.0,None,Ruthenium2,0355,Ruthenium2_0355,None,None,None,,0.13975605701853056,0.19633902465167807,0.1101805030022831,0.026937895838187842,0.2952763619328209,-0.09166867325143357,-0.021218204923542316,0.06619834185346463,C7 O2,5,8.27573667333916,C10 H6,2,4.200085920424395,C8 H2,2,2.2263020026681195,C10 H10,2,4.646495697163801,C12 O2,5,87.31169777046013,C10 H10,2,2.9570073940310437,C12 H6,2,8.331051958988654,C12 H10,2,9.632952346852987,C12 H10,1,4.816476173426493,C12 H10 O2,0,5.819706785540515,C12 H10 O2,0,3.879086344108595,C12 H10 O2,0,5.320966096700604,C12 H10 O2,0,2.3577296508254664,C12 H10 O2,0,10.928114584839772,C8 H2 O2,2,4.63786833666958,C9 H2 O2,1,3.2228120554082174,C9 H2 O,1,2.0981648165303546,C7 H4 O,1,1.2679650198793366,C10 H2 O2,2,9.606549566480798,C8 H10,2,2.6522934560884055,C8 H6,2,2.429078279735011,C9 H4 O,1,2.2057563994726346
356,356,,,C15 H14 O2,Full match,No results,Partial match,-0.93,226.09917,10.498,1486233.44644154,1962,0,,,0.0991686231319875,439,0.343672654301884,-0.153296695262412,-0.153296695262412,-0.0348774592659424,0.171054265592119,No MS2,,0.0,1381172.1361778,0.0,33953.967132174,1000.0,10.7574664999275,1000.0,21.8750173314085,15,14,0,2,0,0,0,0,0.933333333333333,0.133333333333333,0.0,0.0,0.0,0,0.0,9.0,-0.666666666666666,9.0,7.0,13,0.538461538461538,darkorange,226,0.15329539179981566,-0.01957581989557866,0.0354573557517881,-0.140241755709269,-0.3436735240775022,-0.15144573347041046,0.033455841132791875,-0.17105536617447115,-0.17105536617447115,-0.29667626266248703,-0.2547871282818335,-0.300560157451514,-0.33316124402887226,0.2533811653493956,CHO,2,0,1415126.10330997,0.0,1381172.1361778,10.7574664999275,33953.967132174,21.8750173314085,9.64892740750517e-05,-5.34616917767453,#a6611a,0.0,None,Ruthenium2,0356,Ruthenium2_0356,None,None,None,,0.15329539179981566,0.22205176758944845,0.11735687547258067,0.01620523533603091,0.3422747432706217,-0.1279186623060582,-0.04231129532743694,0.06391227674464517,C8 O2,7,9.131922433172651,C13 H10,2,5.533992847881262,C11 H6,2,3.13556255022162,C13 H14,2,6.076444695862868,C15 O2,7,105.17194079317179,C13 H14,2,3.867020022434296,C15 H10,2,10.553708540345918,C15 H14,2,12.135704070200179,C15 H14,1,6.067852035100089,C15 H14 O2,0,7.071777691756094,C15 H14 O2,0,4.713645770061777,C15 H14 O2,0,6.465736286702459,C15 H14 O2,0,2.864979381663273,C15 H14 O2,0,13.279225188120314,C9 H2 O2,3,5.0659612165863255,C12 H6 O2,1,4.1313217642013855,C12 H6 O,1,2.7647142102345783,C5 H2,2,0.7559024920490479,C12 H2 O2,3,11.103620908605114,C11 H14,2,3.6532032094832085,C11 H10,2,3.3819647841179807,C9 H2,2,1.89545340107532
357,357,,,C13 H12 O,Full match,No results,Partial match,-0.36,184.08875,11.343,1472389.67915275,571,0,,,0.0887484963371605,482,-0.34056704630845,-0.116807431997188,-0.116807431997188,-0.0203911157177856,0.147277406619878,DDA for preferred ion,,0.0,1209033.00472447,0.0,397334.651685036,1000.0,30.8049969903696,1000.0,14.5210929558552,13,12,0,1,0,0,0,0,0.923076923076923,0.0769230769230769,0.0,0.0,0.0,0,0.0,8.0,-0.769230769230769,8.0,7.0,12,0.583333333333333,darkorange,184,0.11680598852785806,-0.02394483896074462,0.020862881976285053,-0.12219040656509605,0.34056595848838356,-0.13131262608087013,0.019233259345128317,-0.14727868545404021,-0.14727868545404021,-0.24955855586824782,-0.21545264390618968,-0.2527208024914387,-0.279264434989841,0.19829529671741852,CHO,1,0,1606367.6564095,0.0,1209033.00472447,30.8049969903696,397334.651685036,14.5210929558552,0.0202912055645746,-1.60542710652794,#d9d9d9,0.0,None,Ruthenium2,0357,Ruthenium2_0357,None,None,None,,0.11680598852785806,0.17278706653735298,0.08754503835484684,0.005187907219919907,0.2706719783414542,-0.112157009004477,-0.04245594297279354,0.04403072835503963,C7 O,6,7.134518496086798,C12 H10,1,5.134133660746881,C11 H8,1,3.181345501946515,C12 H12,1,5.575794836596561,C13 O,6,85.32974927155725,C12 H12,1,3.548408872837253,C13 H10,1,9.221157317158516,C13 H12,1,10.509208982028248,C13 H12 O,0,5.754604491014125,C13 H12 O,0,5.757800738093243,C13 H12 O,0,3.8378232853120426,C13 H12 O,0,5.264365310477818,C13 H12 O,0,2.3326497406151296,C13 H12 O,0,10.811868800485279,C7 O,3,3.567259248043399,C10 H4 O,1,3.177892678350849,C10 H4,1,2.0652086650953496,C8 H6,1,1.2438399642187592,C10 O,3,8.483087056316732,C11 H12,1,3.602805550590002,C11 H10,1,3.3819647841179807,C10 H6,1,2.171655762604944
358,358,,,C16 H14 O3,Full match,No results,Partial match,-0.87,254.09407,10.045,1467789.24048187,2797,0,,,0.0940733160254297,370,0.121217227583088,-0.189651482754272,-0.189651482754272,-0.0565699406303111,0.174859617969247,DDA for preferred ion,H2O,0.0,1275200.22830536,0.0,507991.763748531,1000.0,21.35837078276,1000.0,12.4029297060696,16,14,0,3,0,0,0,0,0.875,0.1875,0.0,0.0,0.0,0,0.0,10.0,-0.5,10.0,7.0,13,0.538461538461538,darkorange,254,0.1896548758434733,-0.004620714666287995,0.0572264985953268,-0.1402271334835632,-0.1212133794391832,-0.15281835312188718,0.05497716262601671,-0.17485598990305107,-0.17485598990305107,-0.31603087730175616,-0.26895515984750773,-0.32039566393228824,-0.35703331622826795,0.30213296035083204,CHO,2,0,1783191.99205389,0.0,1275200.22830536,21.35837078276,507991.763748531,12.4029297060696,0.00894828405717696,-1.32784678136287,#d9d9d9,0.0,None,Ruthenium2,0358,Ruthenium2_0358,None,None,None,,0.1896548758434733,0.26692445344892235,0.14926656356726653,0.03559064016837965,0.40203306617993917,-0.1263782327653189,-0.030171226354894998,0.08920461990643958,C9 O3,7,11.129326370258505,C13 H8,3,5.4668281648544,C10 H2,3,2.7714317654039258,C13 H14,3,6.076444695862868,C16 O3,7,119.06071797388243,C13 H14,3,3.867020022434296,C16 H8,3,11.108069278651538,C16 H14,3,12.885942523196848,C16 H14 O,1,6.942971261598425,C16 H14 O3,0,7.947382980724221,C16 H14 O3,0,5.297274575503399,C16 H14 O3,0,7.266303433533108,C16 H14 O3,0,3.2197121247885803,C16 H14 O3,0,14.92341711763635,C10 H2 O3,3,6.064663185129253,C13 H6 O3,1,4.766665898586394,C13 H6 O2,1,3.2308492921924894,C6 H2 O,2,1.0971296775036514,C13 H2 O3,3,12.84988692536242,C10 H14,3,3.353165064280412,C10 H8,3,3.048342749520861,C10 H2 O,2,2.3777761987626183
360,360,,,C14 H14 O3,Full match,No results,Partial match,-1.16,230.09403,9.477,1452859.95397358,3883,0,,,0.094026470585959,409,0.30751332955677,-0.162899558851905,-0.162899558851905,-0.042388019654652,0.167182232368731,No MS2,,0.0,1096818.82062093,0.0,101580.223757462,1000.0,45.9071443782259,1000.0,51.6842982012827,14,14,0,3,0,0,0,0,1.0,0.214285714285714,0.0,0.0,0.0,0,0.0,8.0,-0.571428571428571,8.0,5.0,11,0.454545454545454,royalblue,230,0.16289610651662656,-0.013029500684723416,0.042976035153373005,-0.1358274368960508,-0.30751632639473314,-0.14722937346701315,0.04093915653595559,-0.16718548129216515,-0.16718548129216515,-0.2950259254881473,-0.25239666796872484,-0.2989784433328566,-0.3321555460748584,0.26475025742610114,CHO,0,0,1198399.04437839,0.0,1096818.82062093,45.9071443782259,101580.223757462,51.6842982012827,0.0271505521063378,-3.43263376994685,#a6611a,0.0,None,Ruthenium2,0360,Ruthenium2_0360,None,None,None,,0.16289610651662656,0.23286731248629167,0.1263226062514775,0.023383756364751207,0.35521446207144436,-0.12328661145556907,-0.03616668056062622,0.07193371529245951,C7 O3,7,9.416954850591523,C11 H8,3,4.667109790585638,C8 H2,3,2.2263020026681195,C11 H14,3,5.219146135529962,C14 O3,7,107.15388929207467,C11 H14,3,3.3214393640159634,C14 H8,3,9.775518055464136,C14 H14,3,11.38546561720351,C14 H14 O,1,6.192732808601756,C14 H14 O3,0,7.1967278270719675,C14 H14 O3,0,4.796930440829482,C14 H14 O3,0,6.57997837110537,C14 H14 O3,0,2.915600254804312,C14 H14 O3,0,13.513853743551268,C8 H2 O3,3,5.2084774252957615,C11 H6 O3,1,4.22198628686217,C11 H6 O2,1,2.8312323575093106,C4 H2 O,2,0.8045961026669701,C11 H2 O3,3,11.352815583238103,C8 H14,3,2.753088773874818,C8 H8,3,2.4770578791434006,C8 H2 O,2,1.9642815586895574
362,362,,,C17 H18 O2,Full match,No results,Partial match,-0.97,254.13043,10.347,1443674.21918844,4005,0,,,0.130433941289056,513,0.157295538977678,-0.153331458245134,-0.153331458245134,-0.0202308722764428,0.211231803677435,No MS2,,0.0,1212426.64084745,0.0,136676.593913605,1000.0,26.9734638400207,1000.0,5.28525738585914,17,18,0,2,0,0,0,0,1.05882352941176,0.117647058823529,0.0,0.0,0.0,0,0.0,9.0,-0.823529411764705,9.0,7.0,15,0.466666666666666,royalblue,254,0.15333547591129104,-0.040967914776814496,0.020888148611362567,-0.1765937384128904,-0.15729107034505319,-0.1891867598120882,0.018638490769689042,-0.2112275501043257,-0.2112275501043257,-0.3524226391508023,-0.3053401853210289,-0.3567880503675269,-0.3934309453873652,0.2658296556512596,CHO,1,0,1349103.23476105,0.0,1212426.64084745,26.9734638400207,136676.593913605,5.28525738585914,0.00469354052442052,-3.14905935279099,#d9d9d9,0.0,None,Ruthenium2,0362,Ruthenium2_0362,None,None,None,,0.15333547591129104,0.230616110531372,0.11294138420456079,-0.0007508058336043177,0.365744056846836,-0.16274285596387017,-0.06652208265703052,0.052870845883205675,C8 O2,9,9.131922433172651,C15 H14,2,6.468040588203747,C13 H10,2,3.7722582164072165,C15 H18,2,7.077744414395482,C17 O2,9,117.07876947497954,C15 H18,2,4.504242321628381,C17 H14,2,12.110089510109482,C17 H18,2,13.888217340550701,C17 H18,1,6.944108670275351,C17 H18 O2,0,7.948521021145547,C17 H18 O2,0,5.298033128677999,C17 H18 O2,0,7.267343945490445,C17 H18 O2,0,3.2201731775089453,C17 H18 O2,0,14.925554104358316,C9 H2 O2,4,5.0659612165863255,C11 H2 O2,2,3.767491667132442,C11 H2,2,2.2314551365972117,C7 H6,2,1.0975731768004184,C13 H2 O2,4,11.852156579667273,C13 H18,2,4.354074817675214,C13 H14,2,4.049208853312221,C11 H6,2,2.3784030826414746
364,364,,,C17 H12 O4,Full match,No results,Partial match,-0.03,280.07355,6.769,1437023.42105298,1966,0,,,0.0735511020888566,263,-0.101016778588189,-0.239182724768739,-0.239182724768739,-0.0924944545451467,0.162597281602359,No MS2,,1053688.55279843,0.0,69939.59988003,0.0,51.4494883878455,1000.0,9.21779719831164,1000.0,17,12,0,4,0,0,0,0,0.705882352941176,0.235294117647058,0.0,0.0,0.0,0,0.0,12.0,-0.235294117647058,12.0,8.0,13,0.615384615384615,darkorange,280,0.23918391465127797,0.025044897898908403,0.09321558986266609,-0.12442640271405025,0.10101848702322513,-0.1383049933594407,0.09073627379649452,-0.16259583638026243,-0.16259583638026243,-0.3182049455759284,-0.2663160396041917,-0.32301600349086357,-0.3633996194571978,0.36316215792624007,CHO,0,1,0.0,1123628.15267845,1053688.55279843,51.4494883878455,69939.59988003,9.21779719831164,0.0347529139428563,-3.91319514828714,#a6611a,0.0,None,Ruthenium2,0364,Ruthenium2_0364,None,None,None,,0.23918391465127797,0.32435380825387483,0.19466615790986452,0.06936760444165202,0.47327640531869974,-0.10916154120917554,-0.0031179888341625883,0.1284632678503499,C11 O4,6,13.982916067177849,C13 H4,4,5.332498798800677,C11 O,3,3.361518028861336,C13 H12,4,6.004444116763015,C17 O4,6,132.94949515459308,C13 H12,4,3.8211992020464187,C17 H4,4,11.550515143669077,C17 H12,4,13.510162794014924,C17 H12,2,6.755081397007462,C17 H12 O4,0,8.759944181823746,C17 H12 O4,0,5.83888176897387,C17 H12 O4,0,8.009229282183632,C17 H12 O4,0,3.548903904983186,C17 H12 O4,0,16.449226276075922,C11 O4,3,6.991458033588924,C14 H4 O4,1,5.356264887367987,C14 H4 O3,1,3.6634223783106736,C7 O2,2,1.4137883080009104,C14 O4,3,14.470420777650803,C9 H12,4,3.0027292601844087,C9 H4,4,2.6667411155153515,C11 O2,2,2.825371475703369
367,367,,,C24 H22,Full match,No results,Not the top hit,-1.92,310.17156,13.301,1421937.9542204,12190,0,,,0.171556377812522,553,-0.236700672325526,-0.174785279322577,-0.174785279322577,-0.0123332059347945,0.270171873565346,DDA for preferred ion,,0.0,1054118.44645924,0.0,93315.2725834513,1000.0,49.3469531937785,1000.0,15.3008407004654,24,22,0,0,0,0,0,0,0.916666666666666,0.0,0.0,0.0,0.0,0,0.0,14.0,-0.916666666666666,14.0,14.0,24,0.583333333333333,darkorange,310,0.17478175977095134,-0.06236963450726307,0.013126997976144139,-0.2279038182470572,0.23669775924514624,-0.24327386697558495,0.010381243041592825,-0.27017511728462296,-0.27017511728462296,-0.44250670714535545,-0.38504157731802025,-0.44783478378349173,-0.4925582114785243,0.3120832833266718,CH,1,0,1147433.71904269,0.0,1054118.44645924,49.3469531937785,93315.2725834513,15.3008407004654,0.0329628461955152,-3.49777995364855,#a6611a,0.0,None,Ruthenium2,0367,Ruthenium2_0367,None,None,None,,0.17478175977095134,0.26910440738890884,0.1254799172506864,-0.013283803189835908,0.43403092133797827,-0.2109985235265981,-0.09355903640573615,0.05216255584235796,C13,11,11.13041487783538,C24 H22,0,10.335432004520623,C24 H22,0,7.045169621803523,C24 H22,0,11.07958909409327,C24,11,142.8819441816932,C24 H22,0,7.05099692528663,C24 H22,0,17.221678284417713,C24 H22,0,19.391922875884568,C24 H22,0,9.695961437942284,C24 H22,0,9.701346810381635,C24 H22,0,6.466367347769687,C24 H22,0,8.869955029114216,C24 H22,0,3.9302930320489433,C24 H22,0,18.21697097086203,C14 H2,5,6.065207438917691,C18 H6,2,5.039351942328267,C24 H22,0,5.164585170435149,C24 H22,0,3.780657002570967,C19 H2,5,14.34790991464993,C24 H22,0,7.7552897326923915,C24 H22,0,7.383194038021813,C24 H22,0,5.343938409088746
369,369,,,C32 H65 N5 O10,Full match,No results,Partial match,-0.56,679.47276,14.236,1419381.8202133,1,0,,,0.472764873906272,696,0.197151934107296,-0.285943391006185,-0.285943391006185,0.0699298578285834,-0.311204538566244,No MS2,,0.0,1327607.64936933,0.0,53111.1536511108,1000.0,9.77610193378599,1000.0,19.4504783612407,32,65,5,10,0,0,0,0,2.03125,0.3125,0.15625,0.0,0.0,0,0.0,3.0,-0.9375,3.0,-9.5,17,0.0,royalblue,679,0.2859484754476398,-0.2335637338859442,-0.06817814777934927,0.40381124433565674,-0.1971456062570951,0.3701410734441879,-0.07419309538988728,0.3112102456308321,0.3112102456308321,-0.06630541376057408,0.05957972660348787,-0.07797728638115586,-0.1759500046167659,-0.4132739640223235,CHNO,2,0,1380718.80302044,0.0,1327607.64936933,9.77610193378599,53111.1536511108,19.4504783612407,7.09538703391563e-05,-4.64367016960887,#a6611a,0.0,None,Ruthenium2,0369,Ruthenium2_0369,None,None,None,,0.2859484754476398,0.4925749943570281,0.17794612020168188,-0.1260345804003009,-0.1461311667425207,0.44084457924986964,-0.3018883378267674,0.01733452218138609,H N5 O10,32,16.479602457810003,C22 H45 N5,10,12.641131563724917,C12 H25 N5,10,5.433376391644125,C22 H65 N5,10,14.271306147789087,C32 H N5 O10,32,305.09876297145524,C22 H65 N5,10,9.082190225044634,C32 H45 N5,10,27.726365343519184,C32 H65 N5,10,32.48057332431491,C32 H65 N5,5,16.240286662157455,C32 H65 N5 O10,0,21.252084033168714,C32 H65 N5 O10,0,14.165433413542061,C32 H65 N5 O10,0,19.430810312588683,C32 H65 N5 O10,0,8.609827009039357,C32 H50 O10,5,34.90668568700774,H N5 O10,16,8.239801228905002,C8 H N5 O10,8,7.42063199486059,C8 H N5 O2,8,3.3137072804252283,C2 H29 N5 O4,6,2.2820294841170856,C16 H N5 O10,16,26.38415710819674,C12 H65 N5,10,6.9889884695572135,C12 H45 N5,10,6.173863608434108,C2 H5 N5,10,1.7066042847265561
370,370,,,C20 H20 O2,Full match,No results,Partial match,-1.17,292.14599,10.495,1419312.03181026,5466,0,,,0.145988645112197,500,-0.122312952366144,-0.180225424979653,-0.180225424979653,-0.0272142264623767,0.23887311794681,No MS2,,0.0,1059265.253522,0.0,88754.7661397394,1000.0,48.0694552427725,1000.0,6.47505371958468,20,20,0,2,0,0,0,0,1.0,0.1,0.0,0.0,0.0,0,0.0,11.0,-0.8,11.0,9.0,18,0.5,darkorange,292,0.1802241644663809,-0.043145214922560626,0.027963942985252288,-0.19905940637033837,0.12231224940626362,-0.21353622720499743,0.025377757154160463,-0.23887411570706263,-0.23887411570706263,-0.40119068311940964,-0.3470651300097529,-0.40620911944620275,-0.44833345238043876,0.3095464322065027,CHO,1,0,1148020.01966173,0.0,1059265.253522,48.0694552427725,88754.7661397394,6.47505371958468,0.0299024546935293,-3.57709549912248,#a6611a,0.0,None,Ruthenium2,0370,Ruthenium2_0370,None,None,None,,0.1802241644663809,0.2690652666865958,0.13378749054339778,0.003088001253672701,0.4244071029751808,-0.18313656011599733,-0.07252204977851306,0.06473095572488319,C10 O2,10,10.844293952839633,C18 H16,2,7.734782832633752,C16 H12,2,4.635735812235821,C18 H20,2,8.435692833994695,C20 O2,10,134.9390124976912,C18 H20,2,5.368434129643756,C20 H16,2,14.220831218178663,C20 H20,2,16.2649508817193,C20 H20,1,8.13247544085965,C20 H20 O2,0,9.137547839492527,C20 H20 O2,0,6.090570942660028,C20 H20 O2,0,8.354472837312176,C20 H20 O2,0,3.70188194541605,C20 H20 O2,0,17.158281936562396,C10 O2,5,5.422146976419817,C14 H4 O2,2,4.630256230322194,C14 H4,2,2.8644425344617077,C10 H8,2,1.560942094012785,C15 O2,5,13.223495757322668,C16 H20,2,5.304586912176811,C16 H16,2,4.954115758286801,C14 H8,2,3.033372563497612
373,373,,,C18 H16 O3,Full match,No results,Partial match,-0.71,280.10975,10.463,1412183.88092009,5695,0,,,0.109745548984108,392,-0.0651033553074853,-0.203028693071019,-0.203028693071019,-0.0563214660384688,0.198803236107665,No MS2,,0.0,1249472.06451548,0.0,63606.1833467497,1000.0,18.4165187884375,1000.0,5.16887312507027,18,16,0,3,0,0,0,0,0.888888888888888,0.166666666666666,0.0,0.0,0.0,0,0.0,11.0,-0.555555555555555,11.0,8.0,15,0.533333333333333,darkorange,280,0.20302433606099157,-0.011142358536801567,0.057037144609068946,-0.16063297857880343,0.06509955383307897,-0.17451336305646237,0.05455750808698667,-0.1988073457116002,-0.1988073457116002,-0.3544365676589223,-0.3025409549545657,-0.35924824741158545,-0.3996370830314504,0.32701860374243097,CHO,2,0,1313078.24786222,0.0,1249472.06451548,18.4165187884375,63606.1833467497,5.16887312507027,0.000871326361836936,-4.29600781501491,#a6611a,0.0,None,Ruthenium2,0373,Ruthenium2_0373,None,None,None,,0.20302433606099157,0.28820523802244224,0.15850082532097076,0.03318607679392471,0.43714708359539145,-0.1453661440636438,-0.03930888537252031,0.09228937842124196,C10 O3,8,11.985512130091996,C15 H10,3,6.333711222150024,C12 H4,3,3.3623444798646274,C15 H16,3,7.005743835295629,C18 O3,8,130.9675466556902,C15 H16,3,4.458421501240505,C18 H10,3,12.55253537512702,C18 H16,3,14.512437611368778,C18 H16 O,1,7.75621880568439,C18 H16 O3,0,8.761082222245074,C18 H16 O3,0,5.83964032214847,C18 H16 O3,0,8.010269794140969,C18 H16 O3,0,3.549364957703551,C18 H16 O3,0,16.45136326279789,C10 O3,4,5.992756065045998,C12 O3,2,4.3570906559140345,C12 O,2,2.664028222715396,C8 H4 O,2,1.4142318072976774,C14 O3,4,13.472690431955657,C12 H16,3,4.003639013579211,C12 H10,3,3.6676072193067113,C12 H4 O,2,2.825998359582226
